seqname	miRNA_ctr1.bed	miRNA_ctr2.bed	miRNA_ctr3.bed	miRNA_trt4.bed	miRNA_trt5.bed	miRNA_trt6.bed
	0	0	0	0	0	0
ID=MI0000137;Alias=MI0000137;Name=mmu-let-7g	733	670	340	365	719	637
ID=MI0000138;Alias=MI0000138;Name=mmu-let-7i	465	471	167	297	474	764
ID=MI0000139;Alias=MI0000139;Name=mmu-mir-1a-1	7	13	10	10	23	36
ID=MI0000140;Alias=MI0000140;Name=mmu-mir-15b	233	190	120	186	220	237
ID=MI0000141;Alias=MI0000141;Name=mmu-mir-23b	54	24	21	20	37	16
ID=MI0000142;Alias=MI0000142;Name=mmu-mir-27b	642	630	329	526	796	705
ID=MI0000143;Alias=MI0000143;Name=mmu-mir-29b-1	1	0	1	0	0	0
ID=MI0000144;Alias=MI0000144;Name=mmu-mir-30a	774	724	324	473	621	567
ID=MI0000145;Alias=MI0000145;Name=mmu-mir-30b	419	388	197	279	368	259
ID=MI0000146;Alias=MI0000146;Name=mmu-mir-99a	37	58	26	42	76	50
ID=MI0000147;Alias=MI0000147;Name=mmu-mir-99b	251	316	126	184	383	387
ID=MI0000148;Alias=MI0000148;Name=mmu-mir-101a	59	64	19	22	45	43
ID=MI0000150;Alias=MI0000150;Name=mmu-mir-124-3	0	0	2	0	2	2
ID=MI0000151;Alias=MI0000151;Name=mmu-mir-125a	205	239	94	176	215	253
ID=MI0000152;Alias=MI0000152;Name=mmu-mir-125b-2	64	138	64	69	86	76
ID=MI0000153;Alias=MI0000153;Name=mmu-mir-126a	22	38	14	27	40	40
ID=MI0000154;Alias=MI0000154;Name=mmu-mir-127	16	70	53	1	94	5
ID=MI0000155;Alias=MI0000155;Name=mmu-mir-128-1	241	189	108	151	165	130
ID=MI0000156;Alias=MI0000156;Name=mmu-mir-130a	31	38	15	27	37	37
ID=MI0000157;Alias=MI0000157;Name=mmu-mir-9-2	23	2	0	0	1	11
ID=MI0000158;Alias=MI0000158;Name=mmu-mir-132	3	3	1	0	4	10
ID=MI0000159;Alias=MI0000159;Name=mmu-mir-133a-1	0	0	0	0	0	0
ID=MI0000160;Alias=MI0000160;Name=mmu-mir-134	3	0	0	0	0	2
ID=MI0000161;Alias=MI0000161;Name=mmu-mir-135a-1	3	0	2	1	1	2
ID=MI0000162;Alias=MI0000162;Name=mmu-mir-136	11	9	15	0	12	9
ID=MI0000163;Alias=MI0000163;Name=mmu-mir-137	0	0	0	0	0	0
ID=MI0000164;Alias=MI0000164;Name=mmu-mir-138-2	4	0	9	2	0	3
ID=MI0000165;Alias=MI0000165;Name=mmu-mir-140	208	164	128	146	119	123
ID=MI0000166;Alias=MI0000166;Name=mmu-mir-141	2548	2578	1094	3245	3924	3798
ID=MI0000167;Alias=MI0000167;Name=mmu-mir-142a	425	298	111	219	307	249
ID=MI0000168;Alias=MI0000168;Name=mmu-mir-144	4	0	2	3	7	3
ID=MI0000169;Alias=MI0000169;Name=mmu-mir-145a	41	83	32	35	63	93
ID=MI0000170;Alias=MI0000170;Name=mmu-mir-146a	246	285	181	242	340	385
ID=MI0000171;Alias=MI0000171;Name=mmu-mir-149	1	1	0	0	2	4
ID=MI0000172;Alias=MI0000172;Name=mmu-mir-150	3	7	2	5	4	2
ID=MI0000173;Alias=MI0000173;Name=mmu-mir-151	1020	744	374	663	1017	760
ID=MI0000174;Alias=MI0000174;Name=mmu-mir-152	8	14	4	5	4	13
ID=MI0000175;Alias=MI0000175;Name=mmu-mir-153	0	4	0	1	4	0
ID=MI0000176;Alias=MI0000176;Name=mmu-mir-154	0	0	1	0	0	0
ID=MI0000177;Alias=MI0000177;Name=mmu-mir-155	0	1	0	1	2	2
ID=MI0000221;Alias=MI0000221;Name=mmu-mir-10b	18858	21846	11106	20208	22161	25263
ID=MI0000222;Alias=MI0000222;Name=mmu-mir-129-1	1	0	1	0	0	0
ID=MI0000223;Alias=MI0000223;Name=mmu-mir-181a-2	223	162	204	56	316	194
ID=MI0000224;Alias=MI0000224;Name=mmu-mir-182	1680	1394	720	1396	1537	1499
ID=MI0000225;Alias=MI0000225;Name=mmu-mir-183	284	316	146	269	422	364
ID=MI0000226;Alias=MI0000226;Name=mmu-mir-184	1548	1556	980	1826	1764	1987
ID=MI0000227;Alias=MI0000227;Name=mmu-mir-185	0	1	0	0	2	0
ID=MI0000228;Alias=MI0000228;Name=mmu-mir-186	265	188	90	205	195	137
ID=MI0000229;Alias=MI0000229;Name=mmu-mir-187	4	6	4	1	2	1
ID=MI0000230;Alias=MI0000230;Name=mmu-mir-188	0	0	0	0	1	3
ID=MI0000231;Alias=MI0000231;Name=mmu-mir-24-1	11	8	0	3	3	14
ID=MI0000232;Alias=MI0000232;Name=mmu-mir-190a	0	0	1	0	0	1
ID=MI0000233;Alias=MI0000233;Name=mmu-mir-191	6145	5134	2710	5235	5979	5378
ID=MI0000235;Alias=MI0000235;Name=mmu-mir-193a	24	9	5	8	34	10
ID=MI0000236;Alias=MI0000236;Name=mmu-mir-194-1	4	0	0	1	4	5
ID=MI0000237;Alias=MI0000237;Name=mmu-mir-195a	78	55	45	57	74	58
ID=MI0000241;Alias=MI0000241;Name=mmu-mir-199a-1	1	1	0	0	0	1
ID=MI0000243;Alias=MI0000243;Name=mmu-mir-200b	41	56	21	37	49	54
ID=MI0000244;Alias=MI0000244;Name=mmu-mir-201	3	2	0	4	1	2
ID=MI0000245;Alias=MI0000245;Name=mmu-mir-202	2	2	6	1	4	2
ID=MI0000246;Alias=MI0000246;Name=mmu-mir-203	27	50	26	52	59	40
ID=MI0000247;Alias=MI0000247;Name=mmu-mir-204	81	53	37	59	34	32
ID=MI0000248;Alias=MI0000248;Name=mmu-mir-205	18	37	8	19	28	27
ID=MI0000249;Alias=MI0000249;Name=mmu-mir-206	0	0	0	0	0	0
ID=MI0000250;Alias=MI0000250;Name=mmu-mir-207	1	0	1	3	1	5
ID=MI0000256;Alias=MI0000256;Name=mmu-mir-122	1	0	0	0	1	0
ID=MI0000257;Alias=MI0000257;Name=mmu-mir-143	2520	3302	1407	1622	3568	3444
ID=MI0000259;Alias=MI0000259;Name=mmu-mir-30e	983	727	384	589	686	599
ID=MI0000388;Alias=MI0000388;Name=mmu-mir-290a	0	0	0	0	2	0
ID=MI0000389;Alias=MI0000389;Name=mmu-mir-291a	0	0	0	0	0	0
ID=MI0000390;Alias=MI0000390;Name=mmu-mir-292a	0	0	0	0	0	0
ID=MI0000391;Alias=MI0000391;Name=mmu-mir-293	0	2	0	1	0	0
ID=MI0000392;Alias=MI0000392;Name=mmu-mir-294	0	0	0	0	1	0
ID=MI0000393;Alias=MI0000393;Name=mmu-mir-295	5	6	0	0	0	4
ID=MI0000394;Alias=MI0000394;Name=mmu-mir-296	22	22	10	16	19	27
ID=MI0000395;Alias=MI0000395;Name=mmu-mir-297a-1	0	0	0	0	0	0
ID=MI0000397;Alias=MI0000397;Name=mmu-mir-297a-2	0	2	0	0	0	0
ID=MI0000398;Alias=MI0000398;Name=mmu-mir-298	15	9	11	13	14	15
ID=MI0000399;Alias=MI0000399;Name=mmu-mir-299a	0	0	0	0	2	3
ID=MI0000400;Alias=MI0000400;Name=mmu-mir-300	2	5	2	0	6	6
ID=MI0000401;Alias=MI0000401;Name=mmu-mir-301a	100	41	35	76	67	32
ID=MI0000402;Alias=MI0000402;Name=mmu-mir-302a	0	0	0	0	0	0
ID=MI0000403;Alias=MI0000403;Name=mmu-mir-34c	25576	18679	11785	13306	18499	20334
ID=MI0000404;Alias=MI0000404;Name=mmu-mir-34b	2407	1805	957	1589	1395	1192
ID=MI0000405;Alias=MI0000405;Name=mmu-let-7d	134	159	66	108	138	219
ID=MI0000406;Alias=MI0000406;Name=mmu-mir-106a	0	0	0	0	0	0
ID=MI0000407;Alias=MI0000407;Name=mmu-mir-106b	41	29	26	31	33	22
ID=MI0000408;Alias=MI0000408;Name=mmu-mir-130b	68	43	21	33	32	41
ID=MI0000546;Alias=MI0000546;Name=mmu-mir-19b-2	1	0	0	2	0	3
ID=MI0000547;Alias=MI0000547;Name=mmu-mir-30c-1	5	8	3	10	1	4
ID=MI0000548;Alias=MI0000548;Name=mmu-mir-30c-2	1345	999	476	769	884	683
ID=MI0000549;Alias=MI0000549;Name=mmu-mir-30d	470	429	212	306	376	318
ID=MI0000550;Alias=MI0000550;Name=mmu-mir-148a	3033	2747	1359	1909	2348	2245
ID=MI0000551;Alias=MI0000551;Name=mmu-mir-192	219	167	230	3	512	18
ID=MI0000552;Alias=MI0000552;Name=mmu-mir-196a-1	10	24	0	8	13	3
ID=MI0000553;Alias=MI0000553;Name=mmu-mir-196a-2	4	13	8	6	9	29
ID=MI0000554;Alias=MI0000554;Name=mmu-mir-200a	74	79	54	138	151	161
ID=MI0000555;Alias=MI0000555;Name=mmu-mir-208a	0	0	0	0	0	0
ID=MI0000556;Alias=MI0000556;Name=mmu-let-7a-1	20	19	13	21	36	15
ID=MI0000557;Alias=MI0000557;Name=mmu-let-7a-2	5191	5401	3015	4798	7118	6147
ID=MI0000558;Alias=MI0000558;Name=mmu-let-7b	175	246	148	233	305	344
ID=MI0000559;Alias=MI0000559;Name=mmu-let-7c-1	2115	410	1595	2556	616	610
ID=MI0000560;Alias=MI0000560;Name=mmu-let-7c-2	37	2470	82	368	3178	3829
ID=MI0000561;Alias=MI0000561;Name=mmu-let-7e	79	113	62	98	100	201
ID=MI0000562;Alias=MI0000562;Name=mmu-let-7f-1	2	7	1	1	8	7
ID=MI0000563;Alias=MI0000563;Name=mmu-let-7f-2	7236	9806	3907	6489	7910	11398
ID=MI0000564;Alias=MI0000564;Name=mmu-mir-15a	110	91	52	66	88	51
ID=MI0000565;Alias=MI0000565;Name=mmu-mir-16-1	11	16	5	18	13	2
ID=MI0000566;Alias=MI0000566;Name=mmu-mir-16-2	4345	4409	2932	5434	6195	6067
ID=MI0000567;Alias=MI0000567;Name=mmu-mir-18a	11	8	13	22	20	13
ID=MI0000568;Alias=MI0000568;Name=mmu-mir-20a	31	24	8	11	19	19
ID=MI0000569;Alias=MI0000569;Name=mmu-mir-21a	830	945	469	728	994	1079
ID=MI0000570;Alias=MI0000570;Name=mmu-mir-22	5529	4046	2236	3471	3774	3445
ID=MI0000571;Alias=MI0000571;Name=mmu-mir-23a	28	53	28	26	35	77
ID=MI0000572;Alias=MI0000572;Name=mmu-mir-24-2	16	27	4	7	7	14
ID=MI0000573;Alias=MI0000573;Name=mmu-mir-26a-1	50	750	2296	620	3634	995
ID=MI0000575;Alias=MI0000575;Name=mmu-mir-26b	149	174	101	130	183	173
ID=MI0000576;Alias=MI0000576;Name=mmu-mir-29a	211	172	57	74	105	132
ID=MI0000577;Alias=MI0000577;Name=mmu-mir-29c	4	7	3	3	5	2
ID=MI0000578;Alias=MI0000578;Name=mmu-mir-27a	40	35	39	28	44	36
ID=MI0000579;Alias=MI0000579;Name=mmu-mir-31	9	15	5	12	10	11
ID=MI0000580;Alias=MI0000580;Name=mmu-mir-92a-2	81	98	46	53	50	81
ID=MI0000581;Alias=MI0000581;Name=mmu-mir-93	624	514	283	460	575	535
ID=MI0000583;Alias=MI0000583;Name=mmu-mir-96	12	17	4	7	10	15
ID=MI0000584;Alias=MI0000584;Name=mmu-mir-34a	6	16	1	2	13	14
ID=MI0000585;Alias=MI0000585;Name=mmu-mir-129-2	1	0	0	5	1	0
ID=MI0000586;Alias=MI0000586;Name=mmu-mir-98	76	68	33	62	87	94
ID=MI0000587;Alias=MI0000587;Name=mmu-mir-103-1	102	191	56	83	28	158
ID=MI0000588;Alias=MI0000588;Name=mmu-mir-103-2	84	27	78	102	168	93
ID=MI0000590;Alias=MI0000590;Name=mmu-mir-322	7	7	2	2	3	3
ID=MI0000592;Alias=MI0000592;Name=mmu-mir-323	0	0	0	0	0	0
ID=MI0000595;Alias=MI0000595;Name=mmu-mir-324	4	6	7	3	7	21
ID=MI0000597;Alias=MI0000597;Name=mmu-mir-325	0	0	0	0	0	0
ID=MI0000598;Alias=MI0000598;Name=mmu-mir-326	1	0	0	0	0	3
ID=MI0000603;Alias=MI0000603;Name=mmu-mir-328	31	21	13	9	26	25
ID=MI0000605;Alias=MI0000605;Name=mmu-mir-329	2	2	0	2	1	4
ID=MI0000607;Alias=MI0000607;Name=mmu-mir-330	3	4	1	2	7	1
ID=MI0000609;Alias=MI0000609;Name=mmu-mir-331	0	1	0	0	0	0
ID=MI0000615;Alias=MI0000615;Name=mmu-mir-337	1	1	0	0	0	1
ID=MI0000617;Alias=MI0000617;Name=mmu-mir-148b	93	93	44	38	122	66
ID=MI0000619;Alias=MI0000619;Name=mmu-mir-338	3	1	2	6	10	0
ID=MI0000621;Alias=MI0000621;Name=mmu-mir-339	0	2	3	2	2	0
ID=MI0000623;Alias=MI0000623;Name=mmu-mir-340	675	478	219	400	541	433
ID=MI0000625;Alias=MI0000625;Name=mmu-mir-341	32	0	0	25	4	0
ID=MI0000627;Alias=MI0000627;Name=mmu-mir-342	38	32	24	61	35	55
ID=MI0000630;Alias=MI0000630;Name=mmu-mir-344-1	1	0	0	0	0	0
ID=MI0000632;Alias=MI0000632;Name=mmu-mir-345	12	23	10	5	17	24
ID=MI0000634;Alias=MI0000634;Name=mmu-mir-346	0	0	0	0	0	1
