	piRNA_Aln_CTR1_info.bed	piRNA_Aln_CTR2_info.bed	piRNA_Aln_CTR3_info.bed	piRNA_Aln_TRT4.bed	piRNA_Aln_TRT5.bed	piRNA_Aln_TRT6.bed
1-qC1.3-637.1	0	0	0	0	0	0
1-qC1.3-637.2	0	0	0	0	0	0
1-qD-2017.1	0	0	0	0	0	0
1-qD-2017.2	0	0	0	0	0	0
1-qD-4525.1	0	0	0	0	0	0
1-qE2.3-2.1	17	19	6	13	16	18
1-qE3-706.1	0	0	0	0	0	0
10-qA3-143.1	0	0	0	0	0	0
10-qA3-143.2	0	0	0	0	0	0
10-qA3-2592.1	0	0	0	0	0	0
10-qA3-2592.2	0	0	0	0	0	0
10-qA3-2592.3	0	0	0	0	0	0
10-qA3-2592.4	0	0	0	0	0	0
10-qA3-2592.5	0	0	0	0	0	0
10-qB4-6488.1	0	0	0	0	0	0
10-qB4-6488.2	0	0	0	0	0	0
10-qB4-6488.3	0	0	0	0	0	0
10-qB5.1-221.1	0	0	0	0	0	0
10-qB5.1-5404.1	0	0	0	0	0	0
10-qB5.1-5404.2	0	0	0	0	0	0
10-qC1-117.1	0	0	0	0	0	0
10-qC1-12816.1	0	0	0	0	0	0
10-qC1-12816.2	0	0	0	0	0	0
10-qC1-1527.1	0	0	0	0	0	0
10-qC1-2617.1	0	0	0	0	0	0
10-qC1-2617.2	0	0	0	0	0	0
10-qC1-875.1	0	0	0	0	0	0
10-qC1-875.2	0	0	0	0	0	0
10-qC1-875.3	0	0	0	0	0	0
10-qC2-545.1	0	0	0	0	0	0
11-qB1.3-590.1	0	0	0	0	0	0
11-qB1.3-590.2	0	0	0	0	0	0
11-qB1.3-590.3	0	0	0	0	0	0
11-qB1.3-590.4	0	0	0	0	0	0
11-qE1-252.1	0	0	0	0	0	0
11-qE1-3997.1	0	0	0	0	0	0
11-qE1-3997.2	0	0	0	0	0	0
11-qE1-3997.3	0	0	0	0	0	0
11-qE1-9443.1	0	0	0	0	0	0
